hour,day_of_week,month,temperature,humidity,wind_speed,cloud_cover,precipitation,weather_description_Berawan,weather_description_Cerah,weather_description_Cerah Berawan,weather_description_Hujan Ringan,weather_description_Hujan Sedang,weather_description_Petir
1.5097049529680502,1.4940357616679922,-1.0661857890406046,-0.6856198478930219,0.4953669452713345,-0.8600280122404101,0.11520389140445284,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
1.6540086188988523,1.4940357616679922,-1.0661857890406046,-0.6856198478930219,0.6555761772478335,-1.3702239477746967,-0.04469047556911085,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
-1.6649756975095933,-1.4940357616679922,-1.0661857890406046,-1.0236966959665041,0.8157854092243324,-1.3702239477746967,0.15517748314784374,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
-1.5206720315787914,-1.4940357616679922,-1.0661857890406046,-1.0236966959665041,0.8958900252125819,-1.3702239477746967,0.6748341758119257,-0.522676060806964,1.0,0.0,0.0,0.0,0.0,0.0
-1.3763683656479893,-1.4940357616679922,-1.0661857890406046,-1.0236966959665041,0.9759946412008313,-0.4657856984184614,0.6748341758119257,-0.522676060806964,1.0,0.0,0.0,0.0,0.0,0.0
-1.2320646997171874,-1.4940357616679922,-1.0661857890406046,-1.0236966959665041,0.9759946412008313,-0.4657856984184614,0.6748341758119257,-0.522676060806964,1.0,0.0,0.0,0.0,0.0,0.0
-1.0877610337863854,-1.4940357616679922,-1.0661857890406046,-1.0236966959665041,0.9759946412008313,-0.4657856984184614,0.6348605840685347,-0.522676060806964,1.0,0.0,0.0,0.0,0.0,0.0
-0.9434573678555834,-1.4940357616679922,-1.0661857890406046,-1.0236966959665041,1.0560992571890808,-1.091935255665086,-1.6036605535613566,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.7991537019247814,-1.4940357616679922,-1.0661857890406046,-0.34754299981953946,0.6555761772478335,-1.091935255665086,-2.2432380214556114,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.6548500359939794,-1.4940357616679922,-1.0661857890406046,-0.009466151746057064,-0.3056792146111602,-1.091935255665086,-3.2825514067837753,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.5105463700631775,-1.4940357616679922,-1.0661857890406046,0.6666875444009077,-1.106725374493655,-0.4889764227609289,-3.3225249985271663,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.3662427041323755,-1.4940357616679922,-1.0661857890406046,1.00476439247439,-1.9077715343761497,-0.4889764227609289,-3.3225249985271663,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.22193903820157349,-1.4940357616679922,-1.0661857890406046,1.6809180886213548,-2.869026926235143,0.39227110225283895,-0.6442943517199746,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
-0.0776353722707715,-1.4940357616679922,-1.0661857890406046,2.0189949366948374,-3.1093407741998917,0.34588965356790374,-2.642973938889521,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
0.06666829366003048,-1.4940357616679922,-1.0661857890406046,2.0189949366948374,-3.189445390188141,0.34588965356790374,-2.043370062738657,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
0.21097195959083245,-1.4940357616679922,-1.0661857890406046,1.6809180886213548,-2.788922310246894,0.5314154483076443,-0.8041887186935384,1.0525983840603177,0.0,0.0,0.0,1.0,0.0,0.0
0.35527562552163444,-1.4940357616679922,-1.0661857890406046,1.00476439247439,-2.308294614317397,1.0648021081843988,0.39501903360818924,1.0525983840603177,0.0,0.0,0.0,1.0,0.0,0.0
0.4995792914524364,-1.4940357616679922,-1.0661857890406046,1.3428412405478725,-1.9077715343761497,0.6241783456775147,-0.9241094939237111,1.525180717520502,0.0,0.0,0.0,1.0,0.0,0.0
0.6438829573832384,-1.4940357616679922,-1.0661857890406046,0.32861069632742534,-1.6674576864114012,1.0648021081843988,0.19515107489123468,-0.44391233856359996,0.0,0.0,1.0,0.0,0.0,0.0
0.7881866233140403,-1.4940357616679922,-1.0661857890406046,-0.009466151746057064,-1.2669346064701539,0.6705597943624497,0.2750982583780165,-0.44391233856359996,1.0,0.0,0.0,0.0,0.0,0.0
0.9324902892448423,-1.4940357616679922,-1.0661857890406046,0.32861069632742534,-1.6674576864114012,1.1343742812118012,-0.5643471682331928,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
1.0767939551756442,-1.4940357616679922,-1.0661857890406046,-0.34754299981953946,-1.1868299904819044,0.6705597943624497,-1.2438982278708384,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
1.2210976211064464,-1.4940357616679922,-1.0661857890406046,-0.6856198478930219,-1.1868299904819044,1.0879928325268662,0.4349926253515802,-0.522676060806964,1.0,0.0,0.0,0.0,0.0,0.0
1.3654012870372483,-1.4940357616679922,-1.0661857890406046,-0.34754299981953946,-1.2669346064701539,1.5054258706912829,-2.563026755402739,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
1.5097049529680502,-1.4940357616679922,-1.0661857890406046,-1.0236966959665041,-1.0266207585054055,1.0879928325268662,-0.04469047556911085,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
1.6540086188988523,-1.4940357616679922,-1.0661857890406046,-0.6856198478930219,0.2550530973065861,-0.09473410893898007,0.554913400581753,-0.522676060806964,1.0,0.0,0.0,0.0,0.0,0.0
-1.6649756975095933,-0.9960238411119948,-1.0661857890406046,-1.0236966959665041,-0.3857838305994097,0.879276313444658,-0.08466406731250177,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
-1.5206720315787914,-0.9960238411119948,-1.0661857890406046,-1.0236966959665041,0.575471561259584,-0.09473410893898007,-1.5237133700745749,0.2649611616266768,0.0,1.0,0.0,0.0,0.0,0.0
-1.3763683656479893,-0.9960238411119948,-1.0661857890406046,-1.0236966959665041,0.6555761772478335,-0.14111555762391526,-1.2838718196142294,0.2649611616266768,0.0,1.0,0.0,0.0,0.0,0.0
-1.2320646997171874,-0.9960238411119948,-1.0661857890406046,-1.0236966959665041,-0.14546998263466124,0.02121951277335781,0.35504544186479836,-0.522676060806964,1.0,0.0,0.0,0.0,0.0,0.0
